osm_id,building,street,house_number,levels,lat,lon
60913868,yes,улица Некрасова,3-5,,59.93872399230769,30.35127736923077
66213046,yes,улица Восстания,20/51,7.0,59.942662275,30.361517780000003
66213054,yes,улица Восстания,53 литБ,,59.94288461428572,30.361813285714284
66213057,yes,улица Восстания,53,,59.94293337142857,30.361012785714284
80263248,yes,улица Чехова,15,,59.93835183846154,30.35315983846154
80373694,university,Литейный проспект,44,4.0,59.93800514166667,30.349242175
80373974,apartments,Литейный проспект,32,4.0,59.94025232,30.34910826
80374458,apartments,улица Короленко,10/3,4.0,59.94112159090909,30.349974245454543
80374482,apartments,Литейный проспект,30 литБ,4.0,59.9406003,30.3500234125
80374483,apartments,улица Короленко,6,3.0,59.94020621428571,30.349965057142857
80374499,apartments,улица Короленко,4,4.0,59.93982925714285,30.34999641428572
80374537,apartments,улица Короленко,2,5.0,59.939272025,30.34978499
80643480,yes,Артиллерийская улица,1,,59.94144622105263,30.352649494736845
83013061,yes,улица Некрасова,1/38 литБ,,59.93856896666667,30.3505991
83013068,service,улица Некрасова,3-5 литБ,,59.93832066,30.35094768
83013072,yes,Литейный проспект,48,,59.937156025,30.3503947125
83013078,yes,улица Чехова,4,6.0,59.93702436530612,30.35193782653061
83013079,yes,Литейный проспект,48,,59.9372274,30.3498653
83013081,yes,Литейный проспект,44 литЖ,,59.93823607,30.35090264
83013082,yes,улица Чехова,10,,59.93780305263158,30.35198285789474
83013084,yes,Литейный проспект,48,,59.9370255725,30.3495496275
83013086,yes,улица Чехова,14Б,,59.93825421666667,30.35157015
83013089,yes,улица Некрасова,3-5 литЕ,,59.93853193333333,30.35096713333333
83013090,yes,улица Чехова,6,4.0,59.93730267083333,30.3520880375
88391182,apartments,Манежный переулок,1/4 литБ,3.0,59.9429378,30.353882613333333
88391184,public,улица Рылеева,9,3.0,59.94224122222223,30.35350466111111
88391187,apartments,улица Рылеева,1/9,3.0,59.94229098974358,30.35098255641025
88391204,office,Манежный переулок,3 литД,3.0,59.9430613,30.354515710526314
88391212,government,улица Рылеева,7,4.0,59.94234554,30.3530985
88391220,apartments,улица Рылеева,3,5.0,59.94234028333334,30.352023916666667
88391222,apartments,улица Маяковского,52,6.0,59.94300988139535,30.354954576744184
89430613,residential,улица Рылеева,5,4.0,59.942309113043486,30.35266505217391
97565310,apartments,улица Маяковского,50,,59.94276269032258,30.354719458064515
97565312,apartments,улица Рылеева,6,5.0,59.942724757692304,30.356203557692307
97603759,office,улица Рылеева,11,3.0,59.94230418333333,30.354010016666667
97603763,apartments,улица Маяковского,48,4.0,59.94217388965517,30.35481023103448
97603764,service,Артиллерийская улица,12,,59.94198841428572,30.354371014285714
97603765,apartments,Артиллерийская улица,10,4.0,59.94196453529412,30.353951811764706
97683909,government,улица Маяковского,46,,59.941625825,30.354878575
97683910,yes,Unknown,,,59.941002266666665,30.352840244444444
97683915,apartments,улица Короленко,7,3.0,59.94123796153846,30.350864215384615
97683916,yes,Unknown,,,59.94102746,30.351882720000003
97683917,apartments,улица Маяковского,44,4.0,59.94141666,30.35504562
97683919,apartments,улица Маяковского,34,5.0,59.939984808196726,30.35462179180328
97683922,apartments,улица Маяковского,40,4.0,59.940903133333336,30.355028583333333
97683927,apartments,улица Маяковского,44 литБ,4.0,59.94142621428572,30.354338242857143
98008595,apartments,Басков переулок,3,5.0,59.93944941,30.3511188
98186657,yes,улица Маяковского,37 литЮ,,59.941735125,30.35584621875
98186659,kindergarten,Сапёрный переулок,2,2.0,59.94127576111112,30.35578018888889
98186662,school,Гродненский переулок,8,5.0,59.94191247,30.35991025
98186663,yes,улица Рылеева,29,,59.9422666,30.35962554285714
98186664,yes,улица Маяковского,37,,59.94198483529412,30.35583279411765
98186678,yes,улица Маяковского,35,,59.941521,30.3558235
98186679,yes,улица Восстания,38,3.0,59.9421904,30.360226188888888
98186688,yes,Гродненский переулок,4,,59.941867,30.3584297
98186689,yes,Гродненский переулок,6,,59.94191442,30.359103815
98233482,yes,Сапёрный переулок,5А литВ,,59.94046335555556,30.35668526111111
98233486,yes,Сапёрный переулок,13 литГ,,59.94039636666667,30.35901625
98233495,yes,Митавский переулок,10,6.0,59.94047999333333,30.35988978
98233501,college,Басков переулок,8,5.0,59.93981364347827,30.356379130434785
98233503,yes,Сапёрный переулок,5,,59.94084213333333,30.35678906
98233510,residential,Сапёрный переулок,13,6.0,59.94068855416666,30.35918989583333
98233516,yes,Митавский переулок,4,,59.94042691818181,30.358436081818184
98233518,yes,Сапёрный переулок,1,,59.94082395714286,30.355848685714285
98233525,apartments,Басков переулок,10,,59.93982738235294,30.357024117647057
98233529,apartments,улица Маяковского,25,3.0,59.940075075757576,30.356135506060607
98233533,residential,Сапёрный переулок,15,4.0,59.94076741904762,30.359941476190475
98233535,yes,улица Маяковского,29,,59.94061501428571,30.35563794285714
98233545,yes,Басков переулок,14,,59.93980533043479,30.35805681304348
98233547,yes,улица Маяковского,27,,59.94044765192307,30.356112659615384
98236358,yes,улица Некрасова,30,,59.93894898571428,30.35823884285714
98236367,yes,Басков переулок,23,,59.93938190909091,30.358148736363635
98236373,apartments,улица Некрасова,38/26,5.0,59.93914464444444,30.359911516666664
98236375,yes,Басков переулок,25,,59.93932311,30.358541735
98236380,apartments,улица Некрасова,32,,59.939005925,30.35848245
98296475,apartments,улица Восстания,49,7.0,59.94219259285715,30.3610557
98333874,public,улица Восстания,45,3.0,59.941411831818186,30.3612768
98333880,yes,улица Восстания,45 литБ,2.0,59.941435325,30.36193398125
98346317,apartments,улица Восстания,41,7.0,59.940038226666665,30.361004
98346324,apartments,улица Восстания,37-39,,59.93970595,30.361131638636365
98348275,apartments,улица Восстания,43,,59.94056997096774,30.361066790322575
98350041,apartments,Озерной переулок,2-4,5.0,59.9382099111111,30.361313027777776
98350045,apartments,улица Некрасова,29,5.0,59.938526225,30.361278233333334
98372733,yes,Озерной переулок,3,2.0,59.937876371428565,30.361593914285717
98372735,commercial,Ковенский переулок,20,3.0,59.93751261818182,30.361934854545453
98372739,apartments,Ковенский переулок,19-21,4.0,59.93705004,30.36157123
98372743,yes,Unknown,,2.0,59.9378723,30.361249980000004
98384450,apartments,Ковенский переулок,14,,59.93775638333333,30.358925133333333
98384451,yes,улица Восстания,24/27 литБ,,59.93810453636363,30.35864909090909
98384452,apartments,улица Маяковского,17,5.0,59.938230520000005,30.35601432
98384455,yes,Unknown,,,59.93785608,30.35824826
98384456,yes,улица Некрасова,25,,59.93846177826087,30.359150165217397
98384465,yes,Ковенский переулок,6,,59.9375645,30.3569942125
98384489,yes,Ковенский переулок,6,,59.93796352,30.35717898
98384490,apartments,Ковенский переулок,4,5.0,59.93751480666666,30.356449966666663
98384491,school,Ковенский переулок,10А,4.0,59.9375915375,30.3577484875
98384495,apartments,Ковенский переулок,10,2.0,59.93757571428571,30.35727741428571
98391362,apartments,Ковенский переулок,13,,59.937126983333336,30.35841785
98391370,kindergarten,Ковенский переулок,15,3.0,59.93710183333334,30.35889287777778
98391371,office,улица Восстания,18,5.0,59.93706653461538,30.35956764615385
98392858,yes,Unknown,,,59.93696541666667,30.353862733333333
98392866,yes,улица Чехова,15 литБ,,59.938333581818185,30.353577945454543
98392869,apartments,улица Маяковского,28,3.0,59.938488127272734,30.354850863636365
98392872,school,улица Маяковского,26 литЖ,4.0,59.93806314166667,30.354807175
129211271,apartments,улица Маяковского,11,5.0,59.936954228888894,30.35569521111111
129211272,sports_centre,Ковенский переулок,12,,59.937615093333335,30.35833842
129211273,apartments,улица Маяковского,15,3.0,59.937860275,30.355938602777776
129211274,yes,улица Некрасова,17,,59.93846905416667,30.35693215
129211276,yes,улица Некрасова,19,,59.93838050714286,30.35742875
129211279,yes,улица Некрасова,21,,59.93839901333333,30.358275186666667
129211280,yes,улица Некрасова,23,,59.93856447777778,30.35862294444444
129211283,apartments,Виленский переулок,4,,59.94044128181818,30.361670177272728
129211285,church,Ковенский переулок,7,,59.93711311818181,30.356827672727277
129211286,yes,Ковенский переулок,7 литБ,,59.937127,30.3571921
129211300,yes,улица Восстания,24/27 литВ,,59.93822684285714,30.35854772857143
129211301,yes,Unknown,,,59.94049202857143,30.361414614285717
